precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en santa mónica, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.450.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,50 m²,"Apartamento en arriendo en la milagrosa, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en loma de las brujas, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,86 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 8.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,250 m²,"Apartamento en arriendo en el campestre, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en la castellana, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,64 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 1.700.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,Casa en arriendo en medellín
$ 1.700.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,110 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,117 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 10.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,224 m²,"Apartamento en arriendo en la calera, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,59 m²,"Apartamento en arriendo en los colores, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,65 m²,"Apartamento en arriendo en san diego, medellín"
$ 7.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,120 m²,"Apartamento en arriendo en la linde, medellín"
$ 1.400.000,"Casa en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Casa en arriendo en robledo, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,140 m²,Apartamento en arriendo en medellín
$ 3.800.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,140 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en veinte de julio, medellín"
$ 7.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,180 m²,"Apartamento en arriendo en san lucas, medellín"
$ 6.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,130 m²,Apartamento en arriendo en medellín
$ 3.700.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,110 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,35 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,50 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.200.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,160 m²,"Casa en arriendo en belén, medellín"
$ 725.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en buenos aires, medellín"
$ 2.650.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en belén, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en belén, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en calasanz, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,160 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en villa hermosa, medellín"
$ 4.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en los colores, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,38 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 1.950.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,49 m²,"Apartamento en arriendo en calasanz, medellín"
$ 10.000.000,"Casa en Medellín, Antioquia",2 Habs. ,1 Baño,170 m²,"Casa en arriendo en loma del campestre, medellín"
